timeseries,airtemp,relativehumidity,uvradiation,impactatmcontrol,impactatm3wt,impactatm6wt,impactatm9wt,impactatm12wt,impactatm15wt,impactatm18wt
2022-01-20,22.26,41.03,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-21,20.9,48.76,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-22,21.31,51.27,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-23,20.62,59.75,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-24,21.15,59.48,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-25,21.65,65.04,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-26,21.51,32.01,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-27,20.46,54.32,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-28,21.57,43.27,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-29,22.81,35.36,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,11.03123667
2022-01-30,22.43,32.11,0,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-01-31,21.76,28.17,0,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-01,18.27,33.28,0.003,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-02,21.88,51.78,0,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-03,20.95,80.1,0.003,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-04,24.33,95,0.002,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-05,19.8,65.21,0.004,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-06,21.67,61.44,0.004,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-07,20.7,90.6,0.003,35.23383,7.75731,7.43023,23.23373,12.11587667,8.451643333,11.03123667
2022-02-08,22.96,76.79,0,35.23383,7.75731,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-09,17.01,100,0.005,35.23383,7.75731,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-10,-7.662,100,0.003,35.23383,7.75731,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-11,22.86,100,0.005,35.23383,7.75731,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-12,23.22,100,0.005,35.23383,7.75731,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-13,23.76,100,0.006,35.23383,7.75731,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-14,23.6,100,0.007,35.23383,7.75731,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-15,24.04,100,0.005,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-16,13.55,100,0,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-17,24.36,100,0.006,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-18,23.72,100,0.01,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-19,23.22,100,0.013,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-20,25.65,99.9,0.006,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-21,-0.657,100,0.008,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-22,23.17,100,0.014,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-23,23.91,100,0.009,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-24,19.2,100,0.018,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-25,12.67,100,0.014,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-26,24.11,100,0.04,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-27,24.63,100,0.048,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-02-28,24.6,99.9,0.047,35.23383,7.5509,7.03023,23.23373,12.11587667,7.995164333,11.03123667
2022-03-01,24.75,64.65,0.036,30.54663,7.42881,6.89653,18.71393,11.19568,7.77575,10.36934
2022-03-02,24.61,99.9,0.047,30.43555,7.42516,6.8906,18.66371,11.1799,7.76824,10.35043
2022-03-03,22.21,0.186,0.064,30.32447,7.42151,6.88467,18.61349,11.16412,7.76073,10.33152
2022-03-04,23.45,100,0.037,30.21339,7.41786,6.87874,18.56327,11.14834,7.75322,10.31261
2022-03-05,25.89,16.92,0.052,30.10231,7.41421,6.87281,18.51305,11.13256,7.74571,10.2937
2022-03-06,25.4,0.186,0.033,29.99123,7.41056,6.86688,18.46283,11.11678,7.7382,10.27479
2022-03-07,23.72,0.186,0.033,29.88015,7.40691,6.86095,18.41261,11.101,7.73069,10.25588
2022-03-08,27.38,0.186,0.044,29.76907,7.40326,6.85502,18.36239,11.08522,7.72318,10.23697
2022-03-09,25.34,100,0.043,29.65799,7.39961,6.84909,18.31217,11.06944,7.71567,10.21806
2022-03-10,25.56,100,0.009,29.54691,7.39596,6.84316,18.26195,11.05366,7.70816,10.19915
2022-03-11,28.53,0.186,0.044,29.43583,7.39231,6.83723,18.21173,11.03788,7.70065,10.18024
2022-03-12,24.3,100,0.048,29.32475,7.38866,6.8313,18.16151,11.0221,7.69314,10.16133
2022-03-13,24.13,64.85,0.041,29.21367,7.38501,6.82537,18.11129,11.00632,7.68563,10.14242
2022-03-14,23.94,100,0.053,29.10259,7.38136,6.81944,18.06107,10.99054,7.67812,10.12351
2022-03-15,24.96,0.203,0.016,28.99151,7.37771,6.81351,18.01085,10.97476,7.67061,10.1046
2022-03-16,25.56,100,0.006,28.88043,7.37406,6.80758,17.96063,10.95898,7.6631,10.08569
2022-03-17,24.59,100,0.026,28.76935,7.37041,6.80165,17.91041,10.9432,7.65559,10.06678
2022-03-18,27.32,0.203,0.026,28.65827,7.36676,6.79572,17.86019,10.92742,7.64808,10.04787
2022-03-19,24.78,0.203,0.059,28.54719,7.36311,6.78979,17.80997,10.91164,7.64057,10.02896
2022-03-20,24.53,0.203,0.044,28.43611,7.35946,6.78386,17.75975,10.89586,7.63306,10.01005
2022-03-21,24.37,100,0.046,28.32503,7.35581,6.77793,17.70953,10.88008,7.62555,9.99114
2022-03-22,27.66,100,0.041,28.21395,7.35216,6.772,17.65931,10.8643,7.61804,9.97223
2022-03-23,24.86,0.203,0.058,28.10287,7.34851,6.76607,17.60909,10.84852,7.61053,9.95332
2022-03-24,24.15,0.203,0.03,27.99179,7.34486,6.76014,17.55887,10.83274,7.60302,9.93441
2022-03-25,25.57,0.203,0.037,27.88071,7.34121,6.75421,17.50865,10.81696,7.59551,9.9155
2022-03-26,25.52,100,0.052,27.76963,7.33756,6.74828,17.45843,10.80118,7.588,9.89659
2022-03-27,30.4,100,0.041,27.65855,7.33391,6.74235,17.40821,10.7854,7.58049,9.87768
2022-03-28,24.88,100,0.056,27.54747,7.33026,6.73642,17.35799,10.76962,7.57298,9.85877
2022-03-29,30.72,100,0.045,27.43639,7.32661,6.73049,17.30777,10.75384,7.56547,9.83986
2022-03-30,25.31,64.05,0.049,27.32531,7.32296,6.72456,17.25755,10.73806,7.55796,9.82095
2022-03-31,25.36,100,0.05,27.21423,7.31931,6.71863,17.20733,10.72228,7.55045,9.80204
2022-04-01,21.57,100,0.046,27.10315,7.31566,6.7127,17.15711,10.7065,7.54294,9.78313
2022-04-02,11.22,0.203,0.049,26.99207,7.31201,6.70677,17.10689,10.69072,7.53543,9.76422
2022-04-03,24.79,0.203,0.046,26.88099,7.30836,6.70084,17.05667,10.67494,7.52792,9.74531
2022-04-04,26.27,100,0.045,26.76991,7.30471,6.69491,17.00645,10.65916,7.52041,9.7264
2022-04-05,25.67,100,0.05,26.65883,7.30106,6.68898,16.95623,10.64338,7.5129,9.70749
2022-04-06,21.03,100,0.039,26.54775,7.29741,6.68305,16.90601,10.6276,7.50539,9.68858
2022-04-07,23.5,0.186,0.063,26.43667,7.29376,6.67712,16.85579,10.61182,7.49788,9.66967
2022-04-08,23.95,0.186,0.052,26.32559,7.29011,6.67119,16.80557,10.59604,7.49037,9.65076
2022-04-09,21.89,0.186,0.047,26.21451,7.28646,6.66526,16.75535,10.58026,7.48286,9.63185
2022-04-10,22.48,0.186,0.055,26.10343,7.28281,6.65933,16.70513,10.56448,7.47535,9.61294
2022-04-11,26.26,99.9,0.055,25.99235,7.27916,6.6534,16.65491,10.5487,7.46784,9.59403
2022-04-12,24.99,100,0.044,25.88127,7.27551,6.64747,16.60469,10.53292,7.46033,9.57512
2022-04-13,22.92,100,0.05,25.77019,7.27186,6.64154,16.55447,10.51714,7.45282,9.55621
2022-04-14,23.62,99.9,0.048,25.65911,7.26821,6.63561,16.50425,10.50136,7.44531,9.5373
2022-04-15,24.43,99.9,0.055,25.54803,7.26456,6.62968,16.45403,10.48558,7.4378,9.51839
2022-04-16,22.77,100,0.06,25.43695,7.26091,6.62375,16.40381,10.4698,7.43029,9.49948
2022-04-17,24.14,100,0.052,25.32587,7.25726,6.61782,16.35359,10.45402,7.42278,9.48057
2022-04-18,14.15,99.9,0.061,25.21479,7.25361,6.61189,16.30337,10.43824,7.41527,9.46166
2022-04-19,23.66,100,0.06,25.10371,7.24996,6.60596,16.25315,10.42246,7.40776,9.44275
2022-04-20,24.35,100,0.046,24.99263,7.24631,6.60003,16.20293,10.40668,7.40025,9.42384
2022-04-21,21.84,100,0.066,24.88155,7.24266,6.5941,16.15271,10.3909,7.39274,9.40493
2022-04-22,22.54,100,0.064,24.77047,7.23901,6.58817,16.10249,10.37512,7.38523,9.38602
2022-04-23,24.23,100,0.067,24.65939,7.23536,6.58224,16.05227,10.35934,7.37772,9.36711
2022-04-24,21.86,100,0.049,24.54831,7.23171,6.57631,16.00205,10.34356,7.37021,9.3482
2022-04-25,21.85,100,0.059,24.43723,7.22806,6.57038,15.95183,10.32778,7.3627,9.32929
2022-04-26,22.25,100,0.075,24.32615,7.22441,6.56445,15.90161,10.312,7.35519,9.31038
2022-04-27,25.62,100,0.06,24.21507,7.22076,6.55852,15.85139,10.29622,7.34768,9.29147
2022-04-28,22.3,99.9,0.062,24.10399,7.21711,6.55259,15.80117,10.28044,7.34017,9.27256
2022-04-29,23.93,0.186,0.067,23.99291,7.21346,6.54666,15.75095,10.26466,7.33266,9.25365
2022-04-30,22.5,0.186,0.058,23.88183,7.20981,6.54073,15.70073,10.24888,7.10736,9.23474
2022-05-01,23.4,100,0.068,23.77075,7.20616,6.5348,15.65051,10.2331,7.10736,9.21583
2022-05-02,24.6,100,0.077,23.65967,7.20251,6.52887,15.60029,10.21732,7.10736,9.19692
2022-05-03,23.51,0.186,0.068,23.54859,7.19886,6.52294,15.55007,10.20154,7.10736,9.17801
2022-05-04,-7.956,0.186,0.063,23.43751,7.19521,6.51701,15.49985,10.18576,7.10736,9.1591
2022-05-05,21.52,0.186,0.065,23.32643,7.19156,6.51108,15.44963,10.16998,7.10736,9.14019
2022-05-06,21.21,0.186,0.056,23.21535,7.18791,6.50515,15.39941,10.1542,7.10736,9.12128
2022-05-07,23.35,0.186,0.083,23.10427,7.18426,6.49922,15.34919,10.13842,7.10736,9.10237
2022-05-08,24.28,0.186,0.077,22.99319,7.18061,6.49329,15.29897,10.12264,7.10736,9.08346
2022-05-09,23.42,100,0.08,20.66051,7.17696,6.48736,15.24875,10.10686,7.10736,9.06455
2022-05-10,23.71,100,0.072,20.66051,7.17331,6.48143,15.19853,10.09108,7.10736,9.04564
2022-05-11,24.29,0.186,0.065,20.66051,7.16966,6.4755,15.14831,10.0753,7.10736,9.02673
2022-05-12,24.77,100,0.07,20.66051,7.16601,6.46957,15.09809,10.05952,7.10736,9.00782
2022-05-13,24.73,100,0.095,20.66051,7.16236,6.46364,15.04787,10.04374,7.10736,8.98891
2022-05-14,22.13,0.186,0.068,20.66051,7.15871,6.45771,14.99765,10.02796,7.10736,8.97
2022-05-15,23.71,99.9,0.081,20.66051,7.15506,6.45178,14.94743,10.01218,7.10736,8.95109
2022-05-16,27.91,100,0.075,20.66051,7.10396,6.44585,14.89721,9.9964,7.10736,8.93218
2022-05-17,22.28,100,0.094,20.66051,7.10396,6.43992,14.84699,9.98062,7.10736,8.91327
2022-05-18,23.93,100,0.09,20.66051,7.10396,6.43399,14.79677,9.96484,7.10736,8.89436
2022-05-19,23.61,100,0.111,20.66051,7.10396,6.42806,14.74655,9.94906,7.10736,8.87545
2022-05-20,27.24,100,0.084,20.66051,7.10396,6.42213,14.69633,9.93328,7.10736,8.85654
2022-05-21,24.47,0.186,0.108,20.66051,7.10396,6.4162,14.64611,9.9175,7.10736,8.83763
2022-05-22,22.17,0.187,0.08,20.66051,7.10396,6.41027,14.59589,9.90172,7.10736,8.81872
2022-05-23,15.44,0.186,0.144,20.66051,7.10396,6.40434,14.24435,9.88594,7.10736,8.79981
2022-05-24,22.53,0.186,0.117,20.66051,7.10396,6.39841,14.24435,9.87016,7.10736,8.7809
2022-05-25,24.97,0.186,0.163,20.66051,7.10396,6.39248,14.24435,9.85438,7.10736,8.76199
2022-05-26,25.46,100,0.169,20.66051,7.10396,6.38655,14.24435,9.8386,7.10736,8.74308
2022-05-27,22.25,100,0.157,20.66051,7.10396,6.38062,14.24435,9.82282,7.10736,8.72417
2022-05-28,23.09,100,0.163,20.66051,7.10396,6.37469,14.24435,9.80704,7.10736,8.70526
2022-05-29,24.23,99.9,0.222,20.66051,7.10396,6.36876,14.24435,9.79126,7.10736,8.68635
2022-05-30,23.76,0.186,0.136,20.54943,7.10031,6.36876,14.24435,9.79126,7.09985,8.68635
2022-05-31,23,100,0.147,20.43835,7.09666,6.36876,14.24435,9.79126,7.09234,8.68635
2022-06-01,17.39,100,0.078,20.32727,7.09301,6.36876,14.24435,9.79126,7.08483,8.68635
2022-06-02,30.19,99.9,0.08,20.21619,7.08936,6.36876,14.24435,9.79126,7.07732,8.68635
2022-06-03,8.74,100,0.029,20.10511,7.08571,6.36876,14.24435,9.79126,7.06981,8.68635
2022-06-04,22.59,100,0.041,19.99403,7.08206,6.36876,14.24435,9.79126,7.0623,8.68635
2022-06-05,28.1,99.9,0.044,19.88295,7.07841,6.36876,13.89281,9.79126,7.05479,8.68635
2022-06-06,22.68,100,0.066,19.77187,7.07476,6.36876,13.84259,9.79126,7.04728,8.68635
2022-06-07,22.48,99.9,0.037,19.66079,7.07111,6.36876,13.79237,9.79126,7.03977,8.68635
2022-06-08,7.789,100,0.033,19.54971,7.06746,6.36876,13.74215,9.79126,7.03226,8.68635
2022-06-09,23.82,100,0.209,19.43863,7.06381,6.36876,13.69193,9.79126,7.02475,8.68635
2022-06-10,26.08,99.9,0.098,19.32755,7.06016,6.36876,13.64171,9.79126,7.01724,8.68635
2022-06-11,23.51,100,0.026,19.21647,7.05651,6.36876,13.59149,9.79126,7.00973,8.68635
2022-06-12,21.03,100,0.085,19.10539,7.05286,6.36876,13.54127,9.57034,7.00222,8.68635
2022-06-13,23.55,100,0.087,18.99431,7.04921,6.36876,13.49105,9.55456,6.99471,8.68635
2022-06-14,7.42,100,0.122,18.88323,7.04556,6.36876,13.44083,9.53878,6.9872,8.68635
2022-06-15,4.515,100,0.141,18.77215,7.04191,6.36876,13.39061,9.523,6.97969,8.68635
2022-06-16,16.74,100,0.201,18.66107,7.03826,6.36876,13.34039,9.50722,6.97218,8.68635
2022-06-17,24.57,100,0.276,18.54999,7.03461,6.36876,13.29017,9.49144,6.96467,8.68635
2022-06-18,24.55,100,0.238,18.43891,7.03096,6.36876,13.23995,9.47566,6.95716,8.68635
2022-06-19,23.28,100,0.194,18.32783,7.02731,6.24423,13.18973,9.45988,6.94965,8.28924
2022-06-20,26.12,0.203,0.288,18.21675,7.02366,6.2383,13.13951,9.4441,6.94214,8.27033
2022-06-21,24.29,100,0.252,18.10567,7.02001,6.23237,13.08929,9.42832,6.93463,8.25142
2022-06-22,20.84,100,0.451,17.99459,7.01636,6.22644,13.03907,9.41254,6.92712,8.23251
2022-06-23,22.89,0.068,0.384,17.88351,7.01271,6.22051,12.98885,9.39676,6.91961,8.2136
2022-06-24,23.51,91.7,0.359,17.77243,7.00906,6.21458,12.93863,9.38098,6.9121,8.19469
2022-06-25,23.9,100,0.312,17.66135,7.00541,6.20865,12.88841,9.3652,6.90459,8.17578
2022-06-26,26.28,98.3,0.639,17.55027,7.00176,6.20272,12.83819,9.34942,6.89708,8.15687
2022-06-27,24.07,100,0.231,17.43919,6.99811,6.19679,12.78797,9.33364,6.88957,8.13796
2022-06-28,28.04,81.3,0.807,17.32811,6.99446,6.19086,12.73775,9.31786,6.88206,8.11905
2022-06-30,24.53,0.068,0.709,17.21703,6.99081,6.18493,12.68753,9.30208,6.87455,8.10014
2022-07-02,-10.36,0.068,0.279,17.10595,6.98716,6.179,12.63731,9.2863,6.86704,8.08123
2022-07-03,24.67,100,0.348,16.99487,6.98351,6.17307,12.58709,9.27052,6.85953,8.06232
2022-07-07,-15.91,100,0.216,16.88379,6.97986,6.16714,12.53687,9.25474,6.85202,8.04341
2022-07-08,24.81,100,0.78,16.77271,6.97621,6.16121,12.48665,9.23896,6.84451,8.0245
2022-07-09,0,0,0.331,16.66163,6.97256,6.15528,12.43643,9.22318,6.837,8.00559
2022-07-10,0,0,0.177,16.55055,6.96891,6.14935,12.38621,9.2074,6.82949,7.98668
2022-07-12,19.82,100,0.524,16.43947,6.96526,6.14342,12.33599,9.19162,6.82198,7.96777
2022-07-14,23.36,100,0.316,16.32839,6.96161,6.13749,12.28577,9.17584,6.81447,7.94886
2022-07-15,7.16,100,0.14,16.21731,6.95796,6.13156,12.23555,9.16006,6.80696,7.92995
2022-07-16,22.72,100,0.243,16.10623,6.95431,6.12563,12.18533,9.14428,6.79945,7.91104
2022-07-17,3.989,100,0.292,15.99515,6.95066,6.1197,12.13511,9.1285,6.79194,7.89213
2022-07-18,9.12,100,0.258,15.88407,6.94701,6.11377,12.08489,9.11272,6.78443,7.87322
2022-07-19,3.16,100,0.3,15.77299,6.94336,6.10784,12.03467,9.09694,6.77692,7.85431
2022-07-20,0,0,0.215,15.66191,6.93971,6.10191,11.98445,9.08116,6.76941,7.8354
2022-07-21,0,0,0.295,15.55083,6.93606,6.09598,11.93423,9.06538,6.7619,7.81649
2022-07-22,0,0,0.145,15.43975,6.93241,6.09005,11.88401,9.0496,6.75439,7.79758
2022-07-23,0,0,0.12,15.32867,6.92876,6.08412,11.83379,9.03382,6.74688,7.77867
2022-07-24,0,0,0.114,15.21759,6.92511,6.07819,11.78357,9.01804,6.73937,7.75976
2022-07-25,-39.93,0.068,0.189,15.10651,6.92146,6.07226,11.73335,9.00226,6.73186,7.74085
2022-07-26,20,100,0.143,14.99543,6.91781,6.06633,11.68313,8.98648,6.72435,7.72194
2022-07-27,15.68,100,0.205,14.88435,6.91416,6.0604,11.63291,8.9707,6.71684,7.70303
2022-07-28,-7.364,100,0.184,14.77327,6.91051,6.05447,11.58269,8.95492,6.70933,7.68412
2022-07-29,18.2,100,0.117,14.66219,6.90686,6.04854,11.53247,8.93914,6.70182,7.66521
2022-07-30,0,0,0.106,14.55111,6.90321,6.04261,11.48225,8.92336,6.69431,7.6463
2022-07-31,16.1,100,0.158,14.44003,6.89956,6.03668,11.43203,8.90758,6.6868,7.62739
2022-08-01,18.56,100,0.171,14.32895,6.89591,6.03075,11.38181,8.8918,6.67929,7.60848
2022-08-02,0,0,0.313,14.21787,6.89226,6.02482,11.33159,8.87602,6.67178,7.58957
2022-08-03,-39.97,0.034,0.266,14.10679,6.88861,6.01889,11.28137,8.86024,6.66427,7.57066
2022-08-04,9.51,99.9,0.278,13.99571,6.88496,6.01296,11.23115,8.84446,6.65676,7.55175
2022-08-05,15.01,100,0.326,13.88463,6.88131,6.00703,11.18093,8.82868,6.64925,7.53284
2022-08-06,0,0,0.212,13.77355,6.87766,6.0011,11.13071,8.8129,6.64174,7.51393
2022-08-07,0,0,0.178,13.66247,6.87401,5.99517,11.08049,8.79712,6.63423,7.49502
2022-08-08,0,0,0.194,13.55139,6.87036,5.98924,11.03027,8.78134,6.62672,7.47611
2022-08-09,0,0,0.079,13.44031,6.86671,5.98331,10.98005,8.76556,6.61921,7.4572
2022-08-10,9.19,97.8,0.266,13.32923,6.86306,5.97738,10.92983,8.74978,6.6117,7.43829
2022-08-11,21.21,88.1,0.548,13.21815,6.85941,5.97145,10.87961,8.734,6.60419,7.41938
2022-08-12,19.15,100,0.212,13.10707,6.85576,5.96552,10.82939,8.71822,6.59668,7.40047
2022-08-13,18.5,100,0.358,12.99599,6.85211,5.95959,10.77917,8.70244,6.58917,7.38156
2022-08-15,22.13,100,0.408,12.88491,6.84846,5.95366,10.72895,8.68666,6.58166,7.36265
2022-08-16,0,0,0.213,12.77383,6.84481,5.94773,10.67873,8.67088,6.57415,7.34374
2022-08-17,16.65,90.2,0.356,12.66275,6.84116,5.9418,10.62851,8.6551,6.56664,7.32483
2022-08-18,20.75,99.9,0.273,12.55167,6.83751,5.93587,10.57829,8.63932,6.55913,7.30592
2022-08-19,23.75,95.3,0.378,12.44059,6.83386,5.92994,10.52807,8.62354,6.55162,7.28701
2022-08-20,5.225,80.9,0.304,12.32951,6.83021,5.92401,10.47785,8.60776,6.54411,7.2681
2022-08-21,24.85,71.78,0.656,12.21843,6.82656,5.91808,10.42763,8.59198,6.5366,7.24919
2022-08-22,3.535,100,0.452,12.10735,6.82291,5.91215,10.37741,8.5762,6.52909,7.23028
2022-08-23,22.97,100,0.666,11.99627,6.81926,5.90622,10.32719,8.56042,6.52158,7.21137
2022-08-28,13.09,100,0.658,11.88519,6.81561,5.90029,10.27697,8.54464,6.51407,7.19246
